Time [s]	Obiwan Ch.  1(Target)[mbar]	Obiwan Ch.  1(Read)[mbar]	Obiwan Ch.  2(Target)[mbar]	Obiwan Ch.  2(Read)[mbar]	Obiwan Ch.  3(Target)[mbar]	Obiwan Ch.  3(Read)[mbar]	Obiwan Ch.  4(Target)[mbar]	Obiwan Ch.  4(Read)[mbar]	Flowie80(Target) [µl/min]	Flowie80(Read)[µl/min]	
3.4790	0.0000	1.0359	13.2051	13.2858	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0407	
3.5280	0.0000	1.0359	13.2027	13.2858	0.0000	3.1369	0.0000	-888.7319	-0.0500	-0.0333	
3.5780	0.0000	1.0359	13.2013	13.2858	0.0000	3.1369	0.0000	-888.7319	-0.0500	-0.0333	
3.6290	0.0000	1.0987	13.2019	13.3459	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0444	
3.6790	0.0000	1.0987	13.2015	13.3459	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0444	
3.7290	0.0000	1.0987	13.1970	13.2858	0.0000	3.1369	0.0000	-886.5065	-0.0500	-0.0259	
3.7780	0.0000	1.0987	13.1962	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0333	
3.8290	0.0000	1.0987	13.1948	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0333	
3.8790	0.0000	1.0987	13.1949	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0407	
3.9280	0.0000	1.0987	13.1941	13.2858	0.0000	3.1974	0.0000	-890.9572	-0.0500	-0.0593	
3.9790	0.0000	1.0987	13.1976	13.2858	0.0000	3.1974	0.0000	-890.9572	-0.0500	-0.0593	
4.0290	0.0000	1.0987	13.1971	13.2858	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0519	
4.0790	0.0000	1.0987	13.1972	13.2858	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0519	
4.1290	0.0000	1.0987	13.1990	13.2858	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0593	
4.1780	0.0000	1.0987	13.2016	13.2858	0.0000	3.1369	0.0000	-888.7319	-0.0500	-0.0704	
4.2290	0.0000	1.0987	13.2033	13.2858	0.0000	3.1369	0.0000	-888.7319	-0.0500	-0.0704	
4.2780	0.0000	1.0987	13.2065	13.2258	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0778	
4.3280	0.0000	1.0987	13.2089	13.2258	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0704	
4.3790	0.0000	1.0359	13.2094	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0704	
4.4290	0.0000	1.0987	13.2119	13.2258	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0741	
4.4790	0.0000	1.0987	13.2139	13.2258	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0741	
4.5290	0.0000	1.0359	13.2167	13.2858	0.0000	3.2579	0.0000	-886.5065	-0.0500	-0.0778	
4.5780	0.0000	1.0359	13.2178	13.2858	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0704	
4.6290	0.0000	1.0359	13.2195	13.2858	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0704	
4.6790	0.0000	1.0359	13.2212	13.2858	0.0000	3.1974	0.0000	-886.5065	-0.0500	-0.0704	
4.7290	0.0000	1.0987	13.2206	13.2858	0.0000	3.1369	0.0000	-890.9572	-0.0500	-0.0593	
4.7780	0.0000	1.0987	13.2182	13.3459	0.0000	3.1369	0.0000	-886.5065	-0.0500	-0.0407	
4.8280	0.0000	1.0987	13.2174	13.3459	0.0000	3.1369	0.0000	-886.5065	-0.0500	-0.0407	
4.8790	0.0000	1.0987	13.2167	13.2858	0.0000	3.2579	0.0000	-888.7319	-0.0500	-0.0407	
4.9280	0.0000	1.0359	13.2159	13.2858	0.0000	3.1974	0.0000	-888.7319	-0.0500	-0.0259	
4.9790	0.0000	1.0359	15.9822	13.3459	0.0000	3.1974	0.0000	-888.7319	12.7500	-0.0259	
5.0280	0.0000	1.0987	17.0586	13.3459	0.0000	3.1974	0.0000	-890.9572	12.7500	-0.0407	
5.0790	0.0000	1.0987	18.1551	13.3459	0.0000	3.1974	0.0000	-890.9572	12.7500	-0.0407	
5.1280	0.0000	1.0987	19.1934	17.0089	0.0000	3.1974	0.0000	-888.7319	12.7500	0.0296	
5.1790	0.0000	1.0359	20.0969	19.4709	0.0000	3.1974	0.0000	-888.7319	12.7500	1.1556	
5.2290	0.0000	1.0359	21.0518	19.4709	0.0000	3.1974	0.0000	-888.7319	12.7500	1.1556	
5.2790	0.0000	1.0359	21.6237	20.8520	0.0000	3.1974	0.0000	-888.7319	12.7500	3.2519	
